"Volume","Aphy","Azoo"
0.268082573106329,8166494624.77393,57.4393891401711
1.0117928632956,11755364589.215,0.000101327330026913
3.81869207816756,8212938235.69791,160473458.621549
14.4124451919556,2066747822.83672,72014872.2225781
54.3952149477315,761791358.423934,195579984.533955
205.297530696693,209447319.022772,25773956.8829185
774.830582996296,37349992.4619795,15536045.3528512
2924.35291505457,4408412.59053261,3975283.19571605
11037.0449482233,0,1138285.36316224
41655.8345478724,2027.56095902973,388183.305041781
157216.769526615,185.050752208923,106103.402412002
593364.960483003,0,39723.0911249888
2239468.33018594,0,10187.5937607245
8452164.74835888,0,2664.90649783647
31900021.9697096,0,3900.48298386847
120396541.23703,0,561.262565144089
454398657.016716,0,142.868524512779
1714983980.24652,0,31.2356837211235
6472664492.03875,0,1.97028589848823
24429024474.3142,0,2.29196564819976
